Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR6714072	41.00766921044686	43.0	250.0	9.090909090909092	18580463.0
SRR6714073	22.79423097015662	46.0	250.0	9.090909090909092	14519055.0
SRR6714074	27.220869267567764	46.0	250.0	18.181818181818183	19457623.0
SRR6714075	17.45780128100452	47.0	250.0	9.090909090909092	12059246.0
SRR6714076	21.96687116854197	48.0	250.0	18.181818181818183	16946615.0
SRR6714077	30.740000932540738	47.0	250.0	9.090909090909092	20043875.0
SRR6714078	41.99540088732131	46.0	250.0	9.090909090909092	28668562.0
SRR6714079	30.401052111778398	46.0	250.0	18.181818181818183	24368336.0
SRR6714088	24.435215933197867	46.0	250.0	9.090909090909092	18211651.0
SRR6714098	14.06677142233292	46.0	250.0	9.090909090909092	14983034.0
