Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
filt_SRR6714072_1	41.36742461012545	43.0	113.87897465463533	0.0	17899920.0
filt_SRR6714072_2	41.43199460413766	43.0	113.87897465463533	0.0	17899920.0
filt_SRR6714073_1	23.18037745450262	46.0	113.91313622786868	0.0	13640278.0
filt_SRR6714073_2	22.921521489462435	46.0	113.91313622786868	0.0	13640278.0
filt_SRR6714074_1	26.964845029766167	46.0	113.87959899106727	0.0	18407570.0
filt_SRR6714074_2	26.906437147975794	46.0	113.87959899106727	0.0	18407570.0
filt_SRR6714075_1	17.770027255249516	47.0	113.85379558234652	0.0	11440010.0
filt_SRR6714075_2	17.683126194026514	47.0	113.85379558234652	0.0	11440010.0
filt_SRR6714076_1	22.24541120069516	48.0	113.90517290079543	0.0	15966786.0
filt_SRR6714076_2	22.116855130954534	48.0	113.90517290079543	0.0	15966786.0
filt_SRR6714077_1	30.935153453538135	47.0	113.89795372063752	0.0	19257439.0
filt_SRR6714077_2	30.55491518334037	47.0	113.89795372063752	0.0	19257439.0
filt_SRR6714078_1	42.12210856166808	46.0	113.8747531352406	0.0	27513040.0
filt_SRR6714078_2	42.02598371334253	46.0	113.8747531352406	0.0	27513040.0
filt_SRR6714079_1	30.56610437256974	46.0	113.8351447683866	0.0	23528583.0
filt_SRR6714079_2	30.48420767916423	46.0	113.8351447683866	0.0	23528583.0
filt_SRR6714088_1	24.467150875147794	46.0	113.811913050923	0.0	17497046.0
filt_SRR6714088_2	24.871316292754457	46.0	113.811913050923	0.0	17497046.0
filt_SRR6714098_1	14.087329836929683	46.0	113.8533785567239	0.0	14389014.0
filt_SRR6714098_2	13.941876800222616	46.0	113.8533785567239	0.0	14389014.0
