"","RGI","Ariba","Groot"
"ABC-F ATP-binding cassette ribosomal protection protein",0.0317460317460317,0.0361451420465623,0.829356960732679
"ampC-type beta-lactamase",0.0449085898961427,0.179712494879,0.072005657555498
"antibiotic resistant nfsA",NA,0.423710797166793,0.0253698598220537
"antibiotic-resistant cya adenylate cyclase",NA,0.423710797166793,0.0253698598220537
"antibiotic-resistant GlpT",NA,0.179712494879,0.0253698598220537
"antibiotic-resistant ptsI phosphotransferase",NA,0.423710797166793,0.0253698598220537
"ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump",0.0177501136522907,NA,NA
"ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump",NA,0.179712494879,0.0253698598220537
"General Bacterial Porin with reduced permeability to beta-lactams",0.179712494879,0.423710797166793,0.0253698598220537
"major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump",0.0200081852916062,NA,NA
"resistance-nodulation-cell division (RND) antibiotic efflux pump",0.0158730158730159,0.072005657555498,0.0669552823173684
"rifamycin-resistant beta-subunit of RNA polymerase (rpoB)",0.30952380952381,0.655836496590659,0.0253698598220537
